good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
FALSE,0.30000000000000004,7,18208,835,0.10095,0.71698,0.14,0.20077,0.30085,0.90438,4.260262244714977,2.921686475483602
TRUE,0.4,7,3778,395,0.11288,0.77588,0.01,0.28934,0.36017,0.92382,3.577261953585815,2.59659709562646
FALSE,0.4,7,24277,1065,0.10008,0.72495,0.06,0.21981,0.44068,0.84333,4.38519501831988,3.0273496077747564
TRUE,0.5,7,4722,536,0.10403,0.79091,0.02,0.31311,0.43644,0.9033,3.674125982742708,2.72916478969277
FALSE,0.5,7,30346,1409,0.09843,0.73355,0.06,0.21258,0.44068,0.83793,4.482101453486599,3.1489109931093564
TRUE,0.6,7,5666,592,0.10854,0.78368,0.03,0.29866,0.36441,0.92653,3.7532765701844184,2.77232170672292
FALSE,0.6,7,36415,1719,0.09862,0.72555,0.22,0.20532,0.25847,0.92977,4.561280314290289,3.2352758766870524
TRUE,0.7000000000000001,7,6611,702,0.09818,0.8003,0.13,0.35255,0.38559,0.94219,3.8202671571609645,2.846337112129805
FALSE,0.7000000000000001,7,42484,1991,0.09821,0.72251,0.05,0.21139,0.48305,0.81469,4.6282254001672145,3.2990712600274095
TRUE,0.8,7,7555,812,0.10531,0.78639,0.02,0.31234,0.39407,0.92058,3.878234468675044,2.9095560292411755
FALSE,0.8,7,48554,2266,0.0984,0.72483,0.07,0.217,0.44915,0.83684,4.6862250139838615,3.3552599055273786
TRUE,0.9,7,8500,937,0.10282,0.80747,0.05,0.34896,0.41102,0.93085,3.929418925714293,2.971739590887778
FALSE,0.9,7,54623,2515,0.09826,0.73374,0.07,0.21551,0.44492,0.83793,4.737375548745249,3.400537989391946
TRUE,1,7,9444,1028,0.10206,0.80457,0.02,0.32845,0.42373,0.91626,3.9751559784066894,3.011993114659257
FALSE,1,7,60692,2807,0.098,0.73605,0.06,0.22708,0.47881,0.82928,4.78313144915058,3.448242412634439
TRUE,0.1,8,944,97,0.11972,0.74469,0.01,0.19482,0.26271,0.92166,2.974971994298069,1.9867717342662448
FALSE,0.1,8,6069,262,0.1061,0.6822,0.02,0.13989,0.49576,0.73852,3.7831171374904673,2.4183012913197452
TRUE,0.2,8,1889,213,0.11187,0.76412,0.01,0.26221,0.34746,0.91572,3.2762319579218335,2.3283796034387376
FALSE,0.2,8,12138,620,0.09993,0.7076,0.265,0.20196,0.23305,0.94165,4.084147133154448,2.792391689498254
TRUE,0.30000000000000004,8,2833,295,0.10478,0.76985,0.03,0.27559,0.33051,0.93031,3.452246574520437,2.469822015978163
FALSE,0.30000000000000004,8,18208,811,0.10313,0.71201,0.05,0.18954,0.45339,0.81253,4.260262244714977,2.909020854211156
TRUE,0.4,8,3778,393,0.11109,0.75311,0.01,0.25556,0.32627,0.9222,3.577261953585815,2.5943925503754266
FALSE,0.4,8,24277,1122,0.10014,0.71565,0.24,0.18783,0.22458,0.93895,4.38519501831988,3.0499928569201424
TRUE,0.5,8,4722,515,0.11539,0.77647,0.01,0.30198,0.43644,0.89735,3.674125982742708,2.711807229041191
FALSE,0.5,8,30346,1392,0.09939,0.7259,0.06,0.20582,0.44915,0.8282,4.482101453486599,3.1436392352745433
TRUE,0.6,8,5666,625,0.10658,0.79072,0.01,0.32258,0.47881,0.89087,3.7532765701844184,2.7958800173440754
FALSE,0.6,8,36415,1641,0.09854,0.735,0.07,0.22499,0.43644,0.84927,4.561280314290289,3.215108581053093
TRUE,0.7000000000000001,8,6611,688,0.10332,0.79004,0.02,0.31061,0.41525,0.91086,3.8202671571609645,2.837588438235511
FALSE,0.7000000000000001,8,42484,1963,0.09996,0.72668,0.05,0.21007,0.48305,0.81361000000000006,4.6282254001672145,3.292920299600006
TRUE,0.8,8,7555,822,0.10666,0.79183,0.02,0.32895,0.46186,0.90113,3.878234468675044,2.9148718175400505
FALSE,0.8,8,48554,2268,0.09704,0.73999,0.1,0.22096,0.38983,0.87034,4.6862250139838615,3.355643050220869
